GO ID	GO name	Size	Clustering index	CI quantile
GO:0140067	peptidyl-lysine butyrylation	1	-0.635701275046	0.97817384674
GO:2000256	positive regulation of male germ cell proliferation	1	-0.680733944954	0.963400686237
GO:0042543	protein N-linked glycosylation via arginine	1	-0.68306010929	0.962256957682
GO:0035501	MH1 domain binding	1	-0.627329192547	0.983225314525
GO:0035978	histone H2A-S139 phosphorylation	1	-0.627329192547	0.983225314525
GO:0010769	regulation of cell morphogenesis involved in differentiation	1	-0.453287197232	0.996378192909
GO:0140065	peptide butyryltransferase activity	1	-0.635701275046	0.97817384674
GO:0072303	positive regulation of glomerular metanephric mesangial cell proliferation	1	-0.606557377049	0.988562714449
GO:1990715	mRNA CDS binding	1	-0.63249516441	0.979222264583
GO:1904796	regulation of core promoter binding	1	-0.628415300546	0.981700343119
GO:1901624	negative regulation of lymphocyte chemotaxis	1	-0.658088235294	0.972550514678
GO:0038154	interleukin-11-mediated signaling pathway	1	-0.63167587477	0.97979412886
GO:0090327	negative regulation of locomotion involved in locomotory behavior	1	-0.621129326047	0.98436904308
GO:0035248	alpha-1,4-N-acetylgalactosaminyltransferase activity	1	-0.693989071038	0.954632100648
GO:0098594	mucin granule	1	-0.624772313297	0.983987800229
GO:1900170	negative regulation of glucocorticoid mediated signaling pathway	1	-0.661202185792	0.971692718262
GO:0004824	lysine-tRNA ligase activity	1	-0.672131147541	0.96807091117
GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure	1	-0.68306010929	0.962256957682
GO:0007403	glial cell fate determination	1	-0.628415300546	0.981700343119
GO:2000740	negative regulation of mesenchymal stem cell differentiation	1	-0.675774134791	0.966260007625
GO:1905143	eukaryotic translation initiation factor 2 complex assembly	1	-0.628415300546	0.981700343119
GO:1903883	positive regulation of interleukin-17-mediated signaling pathway	1	-0.681222707424	0.963019443385
GO:0071206	establishment of protein localization to juxtaparanode region of axon	1	-0.453287197232	0.996378192909
GO:0051089	constitutive protein ectodomain proteolysis	1	-0.635701275046	0.97817384674
GO:1990969	modulation by host of viral RNA-binding transcription factor activity	1	-0.697632058288	0.952916507815
GO:0004587	ornithine-oxo-acid transaminase activity	1	-0.562841530055	0.992375142966
GO:0040034	regulation of development, heterochronic	1	-0.690346083789	0.956252382768
GO:0036337	Fas signaling pathway	1	-0.690346083789	0.956252382768
GO:0034358	plasma lipoprotein particle	1	-0.627118644068	0.983797178803
GO:0009712	catechol-containing compound metabolic process	1	-0.686703096539	0.959778879146
GO:0060007	linear vestibuloocular reflex	1	-0.68345323741	0.961685093404
GO:0044854	plasma membrane raft assembly	1	-0.675774134791	0.966260007625
GO:0060479	lung cell differentiation	1	-0.628415300546	0.981700343119
GO:0021758	putamen development	1	-0.690288713911	0.957396111323
GO:1903886	positive regulation of chemokine (C-C motif) ligand 20 production	1	-0.681222707424	0.963019443385
GO:0032994	protein-lipid complex	1	-0.642987249545	0.976458253908
GO:0044869	negative regulation by host of viral exo-alpha-sialidase activity	1	-0.380281690141	0.997331300038
GO:0061921	peptidyl-lysine propionylation	1	-0.635701275046	0.97817384674
GO:0010557	positive regulation of macromolecule biosynthetic process	1	-0.693989071038	0.954632100648
GO:0016479	negative regulation of transcription from RNA polymerase I promoter	1	-0.67941712204	0.964544414792
GO:0098759	cellular response to interleukin-8	1	-0.606557377049	0.988562714449
GO:1905913	negative regulation of calcium ion export across plasma membrane	1	-0.530054644809	0.993900114373
GO:0061920	protein propionyltransferase activity	1	-0.635701275046	0.97817384674
GO:0001306	age-dependent response to oxidative stress	1	-0.68306010929	0.962256957682
GO:0001872	(1->3)-beta-D-glucan binding	1	-0.380281690141	0.997331300038
GO:2000452	regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation	1	-0.505617977528	0.994376667937
GO:0036317	tyrosyl-RNA phosphodiesterase activity	1	-0.653916211293	0.973980175372
GO:0031249	denatured protein binding	1	-0.618518518519	0.984940907358
GO:0061395	positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	1	-0.690346083789	0.956252382768
GO:0008465	glycerate dehydrogenase activity	1	-0.686703096539	0.959778879146
GO:0102707	S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity	1	-0.65	0.975028593214
GO:1905000	regulation of membrane repolarization during atrial cardiac muscle cell action potential	1	-0.67941712204	0.964544414792
GO:0017172	cysteine dioxygenase activity	1	-0.458333333333	0.995711017918
GO:0015369	calcium:proton antiporter activity	1	-0.67941712204	0.964544414792
GO:0045685	regulation of glial cell differentiation	1	-0.685009487666	0.96120853984
GO:0002276	basophil activation involved in immune response	1	-0.672131147541	0.96807091117
GO:0098597	observational learning	1	-0.685009487666	0.96120853984
GO:0140069	histone butyryltransferase activity	1	-0.635701275046	0.97817384674
GO:2000564	regulation of CD8-positive, alpha-beta T cell proliferation	1	-0.646630236794	0.975791078917
GO:0001315	age-dependent response to reactive oxygen species	1	-0.68306010929	0.962256957682
GO:0033233	regulation of protein sumoylation	1	-0.606557377049	0.988562714449
GO:0055002	striated muscle cell development	1	-0.686924493554	0.958635150591
GO:1990428	miRNA transport	1	-0.661202185792	0.971692718262
GO:0004790	thioether S-methyltransferase activity	1	-0.65	0.975028593214
GO:0031460	glycine betaine transport	1	-0.642987249545	0.976458253908
GO:0032350	regulation of hormone metabolic process	1	-0.668488160291	0.9690240183
GO:0001840	neural plate development	1	-0.628415300546	0.981700343119
GO:0000036	acyl carrier activity	1	-0.690346083789	0.956252382768
GO:0042628	mating plug formation	1	-0.673366834171	0.967213114754
GO:0008785	alkyl hydroperoxide reductase activity	1	-0.690346083789	0.956252382768
GO:0048685	negative regulation of collateral sprouting of intact axon in response to injury	1	-0.531182795699	0.993709492947
GO:0002481	antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent	1	-0.617486338798	0.985894014487
GO:1903725	regulation of phospholipid metabolic process	1	-0.701275045537	0.950629050705
GO:0021757	caudate nucleus development	1	-0.690288713911	0.957396111323
GO:0140068	histone crotonyltransferase activity	1	-0.635701275046	0.97817384674
GO:0030504	inorganic diphosphate transmembrane transporter activity	1	-0.67941712204	0.964544414792
GO:0003311	pancreatic D cell differentiation	1	-0.558441558442	0.993232939382
GO:0000097	sulfur amino acid biosynthetic process	1	-0.458333333333	0.995711017918
GO:0004838	L-tyrosine:2-oxoglutarate aminotransferase activity	1	-0.688442211055	0.958158597026
GO:0070684	seminal clot liquefaction	1	-0.375	0.997903164316
GO:0071664	catenin-TCF7L2 complex	1	-0.628415300546	0.981700343119
GO:1990786	cellular response to dsDNA	1	-0.661202185792	0.971692718262
GO:0071071	regulation of phospholipid biosynthetic process	1	-0.573770491803	0.99151734655
GO:1901890	positive regulation of cell junction assembly	1	-0.675774134791	0.966260007625
GO:0090673	endothelial cell-matrix adhesion	1	-0.605734767025	0.989325200152
GO:1905774	regulation of DNA helicase activity	1	-0.67941712204	0.964544414792
GO:1904722	positive regulation of mRNA endonucleolytic cleavage involved in unfolded protein response	1	-0.618518518519	0.984940907358
GO:0030421	defecation	1	-0.657559198543	0.973217689668
GO:0060588	negative regulation of lipoprotein lipid oxidation	1	-0.466933867735	0.995234464354
GO:0044252	negative regulation of multicellular organismal metabolic process	1	-0.621129326047	0.98436904308
GO:2000109	regulation of macrophage apoptotic process	1	-0.606557377049	0.988562714449
GO:0005895	interleukin-5 receptor complex	1	-0.646630236794	0.975791078917
GO:0009226	nucleotide-sugar biosynthetic process	1	-0.613843351548	0.986847121616
GO:0004877	complement component C3b receptor activity	1	-0.346666666667	0.998570339306
GO:1900005	positive regulation of serine-type endopeptidase activity	1	-0.346666666667	0.998570339306
GO:0009074	aromatic amino acid family catabolic process	1	-0.688442211055	0.958158597026
GO:0071412	cellular response to genistein	1	-0.491525423729	0.994662600076
