id	filename	md5	size	state
2e6b9756-6235-4a69-9b21-73d0ec56ceae	5cb4074a-a651-4589-a854-a794a04b7e2d.mirbase21.isoforms.quantification.txt	c797c0e88c54a0b53fc5eafb02de5c3e	284334	live
87786223-60a8-4db1-b76b-c8ea134db7c0	HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F01_628486.grch38.seg.txt	8075d4b0990fac543d7574e8e6753c32	28933	live
137bd6b9-88ed-4f59-8ded-6b1cb75d9552	nationwidechildrens.org_biospecimen.TCGA-A8-A06T.xml	0f065112df6cca7f986db3ca2ffcae3a	85399	live
61b737e2-5a35-4c17-b674-f4ddce8355bb	148d950b-4202-4f3f-be15-84735cd08a48.FPKM.txt.gz	23f93840340284f41de3f62bcb2b6221	529689	live
4a6279a2-6328-49e8-8afe-06641cf1ed00	0320d3aa-0b8c-4bda-854a-eed5a2d48eda.htseq.counts.gz	e39902c512abcf40cab976fd3a347429	253085	live
4be3b19e-b6b6-4627-815e-60cf0c6faeb9	acf02cd5-270d-40c0-864d-abebe048f309.FPKM.txt.gz	9dd15d1794f643f09f985d2bfc32f263	514572	live
f27a0b2a-5acc-4b0d-b5b4-1e1be0d09374	b76eefac-da30-4ee4-9670-4afc45f86b4b.htseq.counts.gz	5fb06076df398bfbcfe6c287511b8cab	254472	live
5b89d366-d374-4c7b-b400-193596070184	a2233404-f380-4bd6-8770-0d4ba8998fd9.FPKM-UQ.txt.gz	fea86222979869ef61c50cb4ca66c556	508299	live
0bf430b4-ad4f-4f03-9c4a-666108c10d9b	nationwidechildrens.org_clinical.TCGA-E2-A15I.xml	1495e89709495b248a829668b8285f41	71884	live
10895295-0a9d-414b-a367-24d29f1bd898	URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A06_735134.nocnv_grch38.seg.txt	5ac5524a225c750356e1f2dba7397d8e	10068	live
36097260-414f-4ec8-8bfe-2bc202992d92	7836cbab-f289-4807-a0db-d413e59b4d81.mirbase21.mirnas.quantification.txt	98a3b909e4e438f4caa9062caf9a7169	50242	live
1b1144ee-d553-463b-8d97-dcbcf8d89c12	SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G04_698124.grch38.seg.txt	afd8d4429ee6a3af66c28afd3b00ef1f	73317	live
9754d9e1-76c4-4b61-bc41-ecbed082ae98	318901b4-4f1c-4017-8113-5115747c6a67.FPKM.txt.gz	9b9847449736fa5636e365b7028c37dc	493177	live
844af549-8d21-470c-8f70-6d93c176f768	nationwidechildrens.org_biospecimen.TCGA-A2-A0SY.xml	2c4620ead887e10894817812ba842666	73270	live
696c51da-f166-4dbb-8ba2-e6ecc11a7ccd	SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_H06_697992.nocnv_grch38.seg.txt	5cad0fb5960d5b1974201414b35cd887	4688	live
e9127d9c-d098-4d5c-8ab9-625d3a70f21a	COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B05_667234.grch38.seg.txt	767f0612e380ac298c4d4e5700ee7983	60672	live
551d3a58-88f4-4ccd-8b7a-0d86c4c69ce4	b3b6981a-b5db-481c-bc27-76a114856b03.htseq.counts.gz	133386a9b5781b17fa8a9d4be036272d	250918	live
