id	filename	md5	size	state
193602bb-7069-4a72-8131-804a0bd923f5	42bf4b58-a4eb-4cc2-9786-b1fc29aab334.mirbase21.isoforms.quantification.txt	1078abfec0889543341828f0ee15a82e	396875	released
ef49519f-f30d-4781-9883-1cc6068cbfe5	nationwidechildrens.org_clinical.TCGA-AN-A0XR.xml	a42217eddbb2996e31fb5865df9cf5cb	50800	released
127aed4a-3eee-4e1d-aafd-0ca61759856a	39d60210-7753-4df6-8777-71e4c54f47ca.mirbase21.mirnas.quantification.txt	c4cca920146cda810123b17872f70214	50065	released
38f90934-d79c-4f39-afce-cd6d75bbe747	2a181635-ab97-4384-8293-60802f45d9b5.mirbase21.isoforms.quantification.txt	8f2542bce7dee6e4d32f77afc2eefd25	216987	released
cadfedcc-2742-42ad-9fd3-733d01086392	dea7fd8b-f6c6-4208-861f-0da8c0808074.FPKM.txt.gz	af67805d1ebd0789e2b6ff883b0c10f1	492514	released
1080e291-fc2f-4a93-a2c7-3002c014acd7	89898350-742a-4b99-b1b0-4db42205fdba.FPKM-UQ.txt.gz	731619cac3942c4e7e9349b210e12c52	525113	released
3a1703b1-969e-4806-9206-ddeadecc1e5b	fd3c752c-4a40-4ae9-bfb0-b0315eca3d1d.FPKM.txt.gz	e79448cc7ac81b6bfe8580a718ffec57	508955	released
d2dcdfad-ab89-49f2-b16c-c2259dd6aa41	bb61735e-8207-42e2-95bb-3d2c8001595c.FPKM-UQ.txt.gz	975c9cd5f739ed1323b39cac86a0fe47	529194	released
f36a2bbc-ecf7-42ea-9fe2-f9da0d79b9b8	2b5c518f-8327-478a-a282-01bfe59aca4c.htseq.counts.gz	af13d0ed779a76ea1025fd7e92fa2e97	257725	released
d8b83d06-a8cf-411f-80f7-cd6847a1f5c7	64262505-9f17-4989-94c9-fc6db56ca676.htseq.counts.gz	84e3124d9ea34fd4962f4143efa25617	256496	released
f776be97-72c7-4ebc-8be1-611a994258ef	1c0030bf-0fd7-46b6-8fc7-6e44267a4f5c.mirbase21.isoforms.quantification.txt	8bd6b0ea7ae848fcd189183d953f5f5d	288996	released
e8016e2b-8523-4faf-a967-d66cb09e3697	f5d3e683-9177-45fc-93e3-357bf7366ac4.htseq.counts.gz	e2cb7cde00d8634fae748d082254158f	252976	released
47a8e538-7928-4f6c-9e92-7b574961785f	c7169e06-bce9-4524-ab91-84c24205814c.FPKM.txt.gz	d1c78ce401f72e1bd97001603156f7f5	500912	released
335bfc4c-0c49-4860-a522-2a0a6430455c	nationwidechildrens.org_clinical.TCGA-BH-A1EU.xml	6bf5c342fd019c4c24e02f69b278e736	36484	released
0dd7bb23-0cba-4149-8c45-1f8902f6ea20	086a6348-e87d-44bf-96f3-71a42af960ff.FPKM-UQ.txt.gz	4677b4414b5124cfda9155a2333f1d5a	528259	released
37409434-dc17-4345-96d8-5cd388d90166	86f15dc2-5cd0-4c70-ab8a-31c039a964fc.mirbase21.mirnas.quantification.txt	77b555ddf001d5b46eb79356bf518732	50208	released
7e454408-5662-4268-b605-681df38ff5bf	d9b4ed1e-39fe-4378-a9f8-f5f74a284c57.FPKM.txt.gz	e29ab1c9aa112e66bb5b9d67a70fb42f	516282	released
37b3a99b-7346-446a-b214-56d85988e6a8	29cc41ed-cb0a-4a47-8d3c-fcde53615d66.mirbase21.isoforms.quantification.txt	36cd3e1eb865888e3ea1ecae22a1b0b8	328701	released
0ffa9765-40a9-44e9-9ee9-ef9a71c65b9a	e5fedd83-b903-4356-adb1-52f6c1a37ed4.mirbase21.isoforms.quantification.txt	c3ee217938d191942690e67c1937b813	446404	released
f12caa5c-bdbf-416c-8bb9-f1775724606e	5d6adefb-ceda-4ef2-a6b9-8077fd618ae6.FPKM-UQ.txt.gz	660a958dcdc5ce271361021b05a25ad8	519761	released
a479e796-26c0-474d-af84-ad603ff421a5	4c05f1ea-cd90-4a8c-b445-fb60850144d1.FPKM.txt.gz	6f34780e89179a1b73a069fe84756097	517079	released
0436168e-36ed-42e9-9ee9-d9aaf661547b	6999d309-8502-49ee-8d80-9d0bde00081f.htseq.counts.gz	16d4e23927588388086b2a8a1743490c	250749	released
8265c002-8c7c-4c21-9aa5-b32d4d186be1	70cb5052-4284-4147-a745-d2f2b58cb481.FPKM.txt.gz	3a28e3276c83e4e31da173718dfe01f8	543183	released
